Name,Forcefield,Lipid,Software,Files
Wu2014_P4-OH_SAI6,charmm36,"SAI6 - PIP2[3',4'](18:0/​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI6.pdb,  SAI6.str"
Wu2014_P4-OH_SAI4,charmm36,"SAI4 - PIP2[4',5'](18:0/​​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI4.pdb,  SAI4.str"
Wu2014_P5-OH_SAI4,charmm36,"SAI4 - PIP2[4',5'](18:0/​​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI4.pdb,  SAI4.str"
Wu2014_P3-OH_SAI5,charmm36,"SAI5 - PIP2[3',5'](18:0/​​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI5.pdb,  SAI5.str"
Wu2014_P5-OH_SAI5,charmm36,"SAI5 - PIP2[3',5'](18:0/​​​20:4(5Z,8Z,11Z,14Z))",Charmm,"SAI5.pdb,  SAI5.str"
Wu2014_P3-OH_DMI6,charmm36,"DMI6 - PIP2[3',4'](14:0/​​​14:0)",Charmm,"DMI6.pdb,  DMI6.str"
Wu2014_P4-OH_DMI6,charmm36,"DMI6 - PIP2[3',4'](14:0/​​​14:0)",Charmm,"DMI6.pdb,  DMI6.str"
Wu2014_P4-OH_DMI4,charmm36,"DMI4 - PIP2[4',5'](14:0/​​​​14:0)",Charmm,"DMI4.pdb,  DMI4.str"
Wu2014_P5-OH_DMI4,charmm36,"DMI4 - PIP2[4',5'](14:0/​​​​14:0)",Charmm,"DMI4.pdb,  DMI4.str"
Wu2014_P3-OH_DMI5,charmm36,"DMI5 - PIP2[3',5'](14:0/​​​​14:0)",Charmm,"DMI5.pdb,  DMI5.str"
Wu2014_P5-OH_DMI5,charmm36,"DMI5 - PIP2[3',5'](14:0/​​​​14:0)",Charmm,"DMI5.pdb,  DMI5.str"
Wu2014_P4-OH_POI4,charmm36,"POI4 - PIP2[4',5'](16:0/​​​18:1(9Z))",Charmm,"POI4.pdb,  POI4.str"
Wu2014_P5-OH_POI4,charmm36,"POI4 - PIP2[4',5'](16:0/​​​18:1(9Z))",Charmm,"POI4.pdb,  POI4.str"
Wu2014_P3-OH_POI5,charmm36,"POI5 - PIP2[3',5'](16:0/​​​18:1(9Z))",Charmm,"POI5.pdb,  POI5.str"
Wu2014_P5-OH_POI5,charmm36,"POI5 - PIP2[3',5'](16:0/​​​18:1(9Z))",Charmm,"POI5.pdb,  POI5.str"
Wu2014_P3-OH_PWI6,charmm36,"PWI6 - PIP2[3',4'](16:0/​18:3(9Z,12Z,15Z))",Charmm,"PWI6.pdb,  PWI6.str"
Wu2014_P4-OH_PWI6,charmm36,"PWI6 - PIP2[3',4'](16:0/​18:3(9Z,12Z,15Z))",Charmm,"PWI6.pdb,  PWI6.str"
Wu2014_P4-OH_PWI4,charmm36,"PWI4 - PIP2[4',5'](16:0/​​18:3(9Z,12Z,15Z))",Charmm,"PWI4.pdb,  PWI4.str"
Wu2014_P5-OH_PWI4,charmm36,"PWI4 - PIP2[4',5'](16:0/​​18:3(9Z,12Z,15Z))",Charmm,"PWI4.pdb,  PWI4.str"
Wu2014_P3-OH_PWI5,charmm36,"PWI5 - PIP2[3',5'](16:0/​​18:3(9Z,12Z,15Z))",Charmm,"PWI5.pdb,  PWI5.str"
